This flight happened on: Wed Jan 11 02:48:28 2023

acc_x |acc_y|acc_z| roll |pitch| yaw | x_vel|y_vel|z_vel|  X   | Y   |  Z  |
+0.68 |-0.01 |+9.76 |-1.44|-0.36|+0.09|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.59 |+0.06 |+9.86 |-1.44|-0.35|+0.11|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.44 |+0.06 |+9.81 |-1.45|-0.34|+0.12|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.66 |+0.14 |+9.66 |-1.45|-0.34|+0.11|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.60 |+0.06 |+9.81 |-1.45|-0.33|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.66 |-0.05 |+9.74 |-1.45|-0.33|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.61 |+0.07 |+9.72 |-1.45|-0.33|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.77 |+0.03 |+9.68 |-1.45|-0.30|+0.16|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.54 |+0.11 |+9.71 |-1.45|-0.27|+0.18|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.65 |+0.05 |+9.83 |-1.45|-0.25|+0.20|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.59 |+0.09 |+9.83 |-1.45|-0.26|+0.19|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.68 |-0.04 |+9.79 |-1.45|-0.26|+0.19|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.62 |+0.04 |+9.69 |-1.45|-0.27|+0.18|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.59 |+0.02 |+9.75 |-1.45|-0.25|+0.20|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.61 |-0.05 |+9.82 |-1.45|-0.24|+0.21|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.66 |-0.04 |+9.69 |-1.45|-0.26|+0.19|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.57 |+0.08 |+9.75 |-1.45|-0.27|+0.18|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.55 |+0.05 |+9.76 |-1.45|-0.28|+0.18|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.57 |-0.02 |+9.76 |-1.45|-0.29|+0.17|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.62 |+0.05 |+9.69 |-1.45|-0.29|+0.17|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

